,Date,Cases,Deaths,Recovered,Travel_history,Province,City
764,4/16/2020,10,0,0,Local - Social Contact,Sindh,Dadu
765,4/16/2020,3,0,0,Local - Social Contact,Sindh,Shikarpur
766,4/16/2020,0,0,0,Unknown,Sindh,Khairpur
767,4/16/2020,52,0,0,Unknown,Sindh,Sukkur
768,4/16/2020,96,0,0,Unknown,Sindh,Ghotki
769,4/16/2020,4,0,0,Local - Social Contact,Sindh,Tando Alahyar
770,4/16/2020,1,0,0,Local - Social Contact,Sindh,Tando M. Khan
771,4/16/2020,12,0,0,Local - Social Contact,Sindh,Sanghar
772,4/16/2020,5,0,0,Local - Social Contact,Sindh,Sujawal
773,4/16/2020,3,0,0,Local - Social Contact,Sindh,Naushero Feroz
774,4/16/2020,2,0,0,Local - Social Contact,Sindh,Badin
775,4/16/2020,2,0,0,Local - Social Contact,Sindh,Jamshoro
776,4/16/2020,53,0,0,Unknown,Sindh,Shaheed Benazirabad
777,4/17/2020,9,0,0,Local - Social Contact,Islamabad Capital Territory,Islamabad
778,4/17/2020,123,2,3,Unknown,Sindh,Karachi
779,4/17/2020,0,0,2,Local - Social Contact,Sindh,Larkana
780,4/17/2020,1,0,0,Local - Social Contact,Sindh,Badin
781,4/17/2020,1,0,0,Local - Social Contact,Sindh,Naushero Feroz
782,4/17/2020,2,0,0,Local - Social Contact,Sindh,Sujawal
783,4/17/2020,1,0,0,Local - Social Contact,Sindh,Sanghar
784,4/17/2020,6,0,0,Local - Social Contact,Sindh,Tando M. Khan
785,4/17/2020,28,0,0,Unknown,Sindh,Ghotki
786,4/17/2020,73,0,0,Unknown,Sindh,Khairpur
787,4/17/2020,1,0,0,Local - Social Contact,Sindh,Umerkot
788,4/17/2020,2,0,0,Local - Social Contact,Azad Jummu Kashmir,Muzaffarabad
789,4/17/2020,5,0,9,Local - Social Contact,Gilgit-Baltistan,Gilgit
790,4/17/2020,6,0,0,Unknown,Baluchistan,Quetta
791,4/17/2020,41,0,0,Local - Social Contact,Baluchistan,Quetta
792,4/17/2020,24,2,0,Local - Social Contact,Punjab,Lahore
793,4/17/2020,20,0,0,Local - Social Contact,Punjab,Rawalpindi
794,4/17/2020,10,0,0,Local - Social Contact,Punjab,Gujranwala
795,4/17/2020,9,0,0,Local - Social Contact,Punjab,Multan
796,4/17/2020,4,0,0,Local - Social Contact,Punjab,Gujrat
797,4/17/2020,8,0,0,Local - Social Contact,Punjab,Faisalabad
798,4/17/2020,20,0,0,Local - Social Contact,Punjab,Rahim Yar Khan
799,4/17/2020,3,0,0,Local - Social Contact,Punjab,Sialkot
800,4/17/2020,4,0,0,Local - Social Contact,Punjab,Bahawal Nagar
801,4/17/2020,95,0,0,Tableeghi Jamaat,Punjab,Multan
802,4/17/2020,9,0,0,Local - Social Contact,Punjab,Muzaffargar
803,4/17/2020,2,0,0,Local - Social Contact,Punjab,Nankana
804,4/17/2020,1,0,0,Local - Social Contact,Punjab,Kasur
